Date,Open,High,Low,Close,Adj Close,Volume
1998-11-27,3.549999952316284,3.549999952316284,2.7100000381469727,3.4000000953674316,2.251371145248413,21000
1998-11-30,3.25,3.299999952316284,3.0999999046325684,3.2100000381469727,2.125559091567993,132000
1998-12-01,3.2899999618530273,3.4600000381469727,3.2200000286102295,3.390000104904175,2.2447493076324463,123500
1998-12-02,3.359999895095825,3.440000057220459,3.319999933242798,3.390000104904175,2.2447493076324463,75500
1998-12-03,3.440000057220459,3.490000009536743,3.369999885559082,3.390000104904175,2.2447493076324463,102000
1998-12-04,3.3399999141693115,3.4100000858306885,3.299999952316284,3.390000104904175,2.2447493076324463,71000
1998-12-07,3.380000114440918,3.440000057220459,3.3499999046325684,3.380000114440918,2.2381279468536377,26000
1998-12-08,3.380000114440918,3.4000000953674316,3.2300000190734863,3.240000009536743,2.1454241275787354,32500
1998-12-09,3.2899999618530273,3.3399999141693115,3.2300000190734863,3.240000009536743,2.1454241275787354,15000
1998-12-10,3.240000009536743,3.2699999809265137,3.190000057220459,3.200000047683716,2.1189370155334473,36000
1998-12-11,3.2200000286102295,3.240000009536743,3.119999885559082,3.1600000858306885,2.0924510955810547,37500
1998-12-14,3.259999990463257,3.259999990463257,3.1600000858306885,3.180000066757202,2.105694055557251,18500
1998-12-15,3.200000047683716,3.200000047683716,3.1500000953674316,3.1500000953674316,2.0858287811279297,8500
1998-12-16,3.140000104904175,3.1600000858306885,3.0999999046325684,3.130000114440918,2.0725855827331543,43000
1998-12-17,3.0299999713897705,3.119999885559082,3.0299999713897705,3.0799999237060547,2.0394768714904785,14000
1998-12-18,3.059999942779541,3.119999885559082,2.990000009536743,3.0,1.9865037202835083,72500
1998-12-21,3.1500000953674316,3.1600000858306885,3.049999952316284,3.049999952316284,2.0196120738983154,35500
1998-12-22,3.069999933242798,3.069999933242798,3.0,3.059999942779541,2.0262341499328613,22000
1998-12-23,3.0399999618530273,3.069999933242798,3.0,3.0399999618530273,2.012990713119507,20000
1998-12-24,2.9200000762939453,3.059999942779541,2.9200000762939453,3.0,1.9865037202835083,29000
1998-12-25,3.0,3.0,3.0,3.0,1.9865037202835083,0
1998-12-28,3.0,3.069999933242798,3.0,3.0,1.9865037202835083,11000
1998-12-29,3.009999990463257,3.0999999046325684,3.0,3.049999952316284,2.0196120738983154,24000
